Province/State,Country/Region,Lat,Long,Date,Cases_confirmed,Cases_deaths,Recovered,country_clean,Population,Daily Cases,Daily Deaths,Growth Rate,Death Rate,Recovery Rate,risk_score,cases_per_100k,Risk,7DMA
Unknown,Afghanistan,33.93911,67.709953,2021-06-23,107957,4366,66102,Afghanistan,40578842.0,2208.0,73.0,0.020879630067423882,0.04044202784441954,0.6122993414044481,0.002660425844581765,266.04258445817646,High,2095.5714285714284
Unknown,Albania,41.1533,20.1683,2022-01-15,230940,3265,0,Albania,2451636.0,2163.0,3.0,0.009454621749563907,0.014137871308564995,0.0,0.09419832307895626,9419.832307895625,Critical,2290.714285714286
Unknown,Algeria,28.0339,1.6596,2022-01-28,247568,6545,0,Algeria,45477389.0,1870.0,6.0,0.007610969564261882,0.026437180895753892,0.0,0.00544376019476404,544.3760194764039,High,2177.5714285714284
Unknown,Andorra,42.5063,1.5218,2022-01-26,35028,145,0,Andorra,79705.0,327.0,0.0,0.0094233595573614,0.004139545506451982,0.0,0.4394705476444389,43947.054764443885,Critical,734.2857142857143
Unknown,Angola,-11.2027,17.8739,2022-01-03,83764,1775,0,Angola,35635029.0,844.0,3.0,0.010178485287023697,0.021190487560288428,0.0,0.00235060844204729,235.060844204729,High,1716.0
Unknown,Antigua and Barbuda,17.0608,-61.7964,2022-01-27,6524,127,0,Antigua and Barbuda,92840.0,82.0,1.0,0.012728966159577748,0.019466584917228694,0.0,0.07027143472641104,7027.1434726411035,Critical,111.85714285714286
Unknown,Argentina,-38.4161,-63.6167,2022-01-17,7197323,118231,0,Argentina,45407904.0,102458.0,191.0,0.014441148633554057,0.016427079901791264,0.0,0.15850374859848188,15850.374859848187,Critical,114018.14285714286
Unknown,Armenia,40.0691,45.0382,2022-02-07,391588,8097,0,Armenia,2969200.0,1631.0,11.0,0.0041825124308576545,0.02067734455601295,0.0,0.13188333557860704,13188.333557860704,Critical,3399.0
Victoria,Australia,-37.8136,144.9631,2023-03-09,2880559,7370,0,Australia,26018721.0,2593052.0,7114.0,9.01909170907143,0.0025585311739839385,0.0,0.11071101458061677,11071.101458061677,Critical,1138742.142857143
Unknown,Austria,47.5162,14.5501,2022-03-19,3419788,18484,0,Austria,9041851.0,50984.0,39.0,0.01513415443581767,0.005405013410188,0.0,0.378217690161008,37821.7690161008,Critical,46163.142857142855
Unknown,Azerbaijan,40.1431,47.5769,2022-02-10,725777,8972,0,Azerbaijan,10141756.0,7632.0,24.0,0.010627380264431219,0.012361923841620773,0.0,0.07156324802134857,7156.324802134857,Critical,7050.142857142857
Unknown,Bahamas,25.025885,-78.035889,2022-01-15,30655,719,0,"Bahamas, The",397538.0,747.0,0.0,0.024976594890999015,0.023454575110096233,0.0,0.07711212513017623,7711.212513017624,Critical,504.7142857142857
Unknown,Bahrain,26.0275,50.55,2022-02-07,428123,1414,0,Bahrain,1524693.0,7042.0,3.0,0.016723623245883834,0.0033027891517157454,0.0,0.2807929202796891,28079.29202796891,Critical,7649.714285714285
Unknown,Bangladesh,23.685,90.3563,2021-08-03,1296093,21397,1125045,Bangladesh,169384897.0,15776.0,235.0,0.012321948392468363,0.01650884620162288,0.86802798873229,0.007651762482696435,765.1762482696436,High,14477.285714285714
Unknown,Barbados,13.1939,-59.5432,2022-01-25,40632,277,0,Barbados,282318.0,923.0,1.0,0.023244100833564207,0.006817286867493601,0.0,0.14392281044779293,14392.281044779293,Critical,699.7142857142857
Unknown,Belarus,53.7098,27.9534,2022-02-14,838571,6265,0,Belarus,9228071.0,6605.0,12.0,0.007939026354442325,0.007471043000533049,0.0,0.09087175423769496,9087.175423769497,Critical,7901.571428571428
Unknown,Belgium,50.8333,4.469936,2022-01-27,3007724,28938,0,Belgium,11680210.0,68285.0,36.0,0.023230623258383654,0.009621228543576471,0.0,0.2575059866218159,25750.59866218159,Critical,52137.57142857143
Unknown,Belize,17.1899,-88.4976,2022-01-24,47147,622,0,Belize,402733.0,1394.0,6.0,0.030467947456997324,0.013192780028421745,0.0,0.11706763538125756,11706.763538125755,Critical,754.2857142857143
Unknown,Benin,9.3077,2.3158,2021-09-14,21450,146,0,Benin,13759501.0,1609.0,5.0,0.08109470288795917,0.0068065268065268065,0.0,0.001558922812680489,155.8922812680489,Medium,643.4285714285714
Unknown,Bhutan,27.5142,90.4336,2022-04-14,49066,15,0,Bhutan,780914.0,1879.0,1.0,0.03982028948651117,0.00030571067541678554,0.0,0.06283150257262643,6283.150257262643,Critical,1716.7142857142858
Unknown,Bolivia,-16.2902,-63.5887,2022-01-20,795087,20504,0,Bolivia,12077154.0,20860.0,127.0,0.02694300250443349,0.025788372844732715,0.0,0.0658339704867554,6583.397048675541,Critical,11969.714285714286
Unknown,Bosnia and Herzegovina,43.9159,17.6791,2022-01-20,326995,13951,0,Bosnia and Herzegovina,3204802.0,2969.0,39.0,0.00916284495688613,0.04266426092142082,0.0,0.10203282449274557,10203.282449274557,Critical,2424.5714285714284
Unknown,Botswana,-22.3285,24.6849,2022-03-30,305526,2686,0,Botswana,2439892.0,41576.0,67.0,0.1575146808107597,0.00879139582228681,0.0,0.12522111634449393,12522.111634449393,Critical,5939.428571428572
Unknown,Brazil,-14.235,-51.9253,2022-01-29,25256198,626870,0,Brazil,210306415.0,205597.0,700.0,0.00820726816095152,0.02482044209504534,0.0,0.12009238044402973,12009.238044402973,Critical,189227.0
Unknown,Brunei,4.5353,114.7277,2022-03-07,93034,147,0,Brunei Darussalam,455370.0,4185.0,4.0,0.04710238719625437,0.0015800675022034955,0.0,0.20430419219535761,20430.41921953576,Critical,4213.142857142857
Unknown,Bulgaria,42.7339,25.4858,2022-01-27,923466,33017,0,Bulgaria,6465097.0,9874.0,78.0,0.010807887985008646,0.035753346631061673,0.0,0.14283869213408554,14283.869213408554,Critical,8941.285714285714
